DRR091839_1.mature	DRR091842_1.mature	DRR091837_1.mature	DRR091838_1.mature	DRR091840_1.mature	DRR091848_1.mature	DRR091841_1.mature	DRR091847_1.mature	DRR091844_1.mature	DRR091849_1.mature	DRR091845_1.mature	DRR091846_1.mature	DRR091843_1.mature
hsa-miR-30a-5p	32745.8187946003	4179.1792873029	13439.0942552113	30099.0612371283	28397.7596639974	4184.40950374385	10684.8398130468	29443.9463219876	6024.12539661653	5011.29149368342	8738.91745168572	21530.3452069617	12818.4834444849
hsa-miR-141-3p	9474.27498382139	8037.11842559484	7221.81353921827	15606.5824193727	11701.4544447675	13718.0903550988	11548.9748306664	47037.3620939808	4573.80613540156	25467.5315251794	44360.5877877778	16420.3339407595	16390.0341347166
hsa-let-7c-5p	12586.9982713001	7398.89657958227	16933.9814224108	13773.1057749902	11789.1834657818	5712.21282386314	21080.5784647138	1577.35426724933	10762.1402147625	1325.4130636482	13178.0571667644	8129.4968812728	9941.31461838075
hsa-miR-375	3189.62310036243	7743.17604587442	10410.2548340752	11108.6935277351	7366.12680700822	31198.203679484	21686.1837411587	393.724905799553	6658.94823982683	2077.67453220528	12431.1460672694	3102.66358259534	19071.0279446616
hsa-miR-181a-5p	6143.01198819112	11178.7640977033	11945.3953887636	7543.18150269679	10830.489849615	17597.3050105616	9721.62599100878	8525.46971834794	20420.8685195234	7280.64738481304	5584.55696788944	21998.2735217557	9368.13395235542
hsa-miR-145-5p	16313.9975995348	8706.67811075295	16134.7733272877	25388.4729215482	24625.3080617766	787.810331821388	4745.33523598996	865.01656361448	6787.40961683707	847.696616230274	3442.01051787318	807.95483027843	11440.0140487608
hsa-let-7b-5p	4886.36673621449	7385.247694937	6460.45095277788	7728.71323635404	5749.36183462788	31836.6827991541	16525.0943172247	4021.44334894893	6632.53397450601	23159.9204686227	8530.16242195023	20378.6020435721	7826.02351592434
hsa-miR-126-5p	8770.85553947171	7208.68572316586	8449.65198833605	11527.6999779061	8451.85121601483	4511.94524203178	12562.4559458709	17352.1242617682	10459.7849243902	15350.3244537173	6562.10638299564	8526.57763076297	9756.11374916518
hsa-miR-99a-5p	15776.3697910315	4358.03427169445	12685.3521445012	15147.0907836784	15862.4647251686	3022.02998098848	12513.2162634677	1778.1441506309	7139.24763091035	1119.53809210957	6773.30888549354	2076.73231983362	9861.29075040297
hsa-miR-182-5p	1331.36469939145	10528.5312332029	2682.49308036338	2281.70548410401	2310.61234780186	30352.6467196916	12889.3218027983	12338.2683229517	3212.06271056238	21581.0500368623	15141.0742912082	34454.2786535262	5458.42415011078
hsa-miR-125a-5p	8886.41490932314	5864.76194545451	19514.6683719512	14122.3285501146	12888.9071866524	5529.95819485968	6397.81897744336	2297.54683184777	13801.4536301267	4593.45857377148	6110.18773586481	1308.27657463605	8504.86676491063
hsa-miR-30d-5p	5798.43038389536	5057.62150307214	6046.71905695242	8111.26779955956	6793.71049968095	11315.8567612016	4314.42378928874	17609.1254939204	4736.34191467565	12903.6159935406	8791.32216259863	11578.4566753972	6113.9594763851
hsa-miR-16-5p	4367.85905566918	6647.00682224392	6627.50205558323	5196.03004199506	5112.75608993909	12650.6922769925	5249.46394956908	2876.10643469661	10447.5463147916	10525.3072284385	7186.78781335584	4594.64225133763	5972.36384590985
hsa-miR-125b-5p	7499.45089047487	4604.47853284935	12727.0507027104	8980.48168874463	8732.97813796488	1644.0804669387	6287.00828347846	697.855303733248	9130.61909344672	911.094752574079	5492.84872379185	624.461726040338	5735.20573231549
hsa-let-7g-5p	3978.99926031278	5094.41889607577	6430.82528308508	5125.33316727496	4757.48466441314	10271.5834639797	3837.61239516466	5730.12107293315	7421.88026984309	8363.28208412547	9285.27975364861	7040.03269859265	5130.55937062899
hsa-miR-30b-5p	2923.19921210552	3001.22594687797	3129.36120211692	4969.86092286898	4142.34453124912	10469.1239650931	5229.76807660777	11690.9786866715	1971.7368586479	18788.828492475	7741.7882544802	14737.7565122619	2674.19566582067
hsa-miR-92a-3p	2735.93936241158	5813.11456595683	4531.44311315623	3218.80054901602	3659.62751845774	3759.67129665407	6455.27954595221	11321.3092925729	4384.15171039809	4696.73400269827	6695.70960202635	9738.71886604877	3354.10719459792
hsa-miR-103a-3p	2539.37102936965	4235.9586474272	2645.41818158598	2645.3111540853	2742.93183788291	7270.32659124321	5052.50521995604	3090.64232476445	3639.09333324892	4744.58675379786	3618.51649473919	7641.29654926804	3406.0644389767
hsa-miR-103b	2539.37102936965	4235.9586474272	2645.41818158598	2645.3111540853	2742.93183788291	7270.32659124321	5052.50521995604	3090.64232476445	3639.09333324892	4744.58675379786	3618.51649473919	7641.29654926804	3406.0644389767
