DRR091843_1.hairpin	DRR091838_1.hairpin	DRR091844_1.hairpin	DRR091849_1.hairpin	DRR091841_1.hairpin	DRR091842_1.hairpin	DRR091839_1.hairpin	DRR091845_1.hairpin	DRR091840_1.hairpin	DRR091847_1.hairpin	DRR091846_1.hairpin	DRR091837_1.hairpin	DRR091848_1.hairpin
hsa-mir-486-1	1834.34084231896	10770.8910378304	4253.61582468429	3361.97474464363	3399.93305686524	15796.8149823235	6575.3174014989	4563.47551434239	4644.43505043998	5992.14921297004	11656.707784867	2817.34947047154	5143.89710161908
hsa-mir-486-2	1828.19261788689	10749.1833255706	4235.62720863976	3355.15440096367	3390.73161422149	15752.7058281163	6560.66634861319	4542.84772580035	4638.6475924332	5980.17608945938	11608.8959020608	2803.96400510884	5130.15459359249
hsa-mir-23b	5680.95937522598	11104.8329675255	5326.84433269507	949.391840251002	3053.42609835985	3866.18529680884	9313.9372870572	1518.00234041371	12312.4035195642	1924.48005228064	3540.21378670995	8612.38300738961	2557.25170194777
hsa-mir-205	2509.56054906373	18471.776303469	156.916081496161	0.909379157328546	192.503865836327	2011.44915404886	11936.8514216207	66.6176121767655	10916.3859703577	1.59641646808846	2.98824267538522	19819.218388124	130.172089918524
hsa-mir-26b	5944.60970528325	8267.06997992114	3317.9310424294	1610.51048762885	7563.58585316164	4162.75660192533	7341.68016782797	7174.75064748444	7897.81322996491	1376.51009960928	1714.82440386035	7339.01786766812	1835.77003055185
hsa-mir-183	5976.79746848641	2398.5535217454	1018.43241605974	13754.3597545943	6750.46889532719	6930.15776466291	1508.30711118197	3685.94910013576	1937.97165255564	3086.27213693202	8556.19256324942	802.254956629832	14049.8057755169
hsa-mir-182	3391.28826467367	1026.50716055853	992.418109779952	22044.2601528013	10133.2097830423	7557.72703183807	554.486001520446	2736.05634579802	963.198368271041	1728.12082670576	3400.19327277761	810.402631198434	13996.7444250809
hsa-mir-195	6229.23633046169	7344.34352591966	3478.72159507362	7274.5785690497	5913.37975797351	3263.36018931086	7048.65911011391	2799.96867423157	6865.57875547015	3276.24569663455	2890.91134252982	3898.08030432109	5196.57671572101
hsa-let-7f-2	3951.13834825209	4347.78713630542	4167.27046767053	9442.08379054229	6144.3843969771	5116.30327702177	3190.17284885612	8408.69819486016	3704.38651419605	3036.38412230426	4123.34800022083	4093.62449396753	4198.33620212294
hsa-mir-375	8952.89975386548	6449.27210260529	2828.36393807895	802.527106342441	9222.02481808366	3949.38305108577	2113.50829576831	5963.79801192608	4270.73061914512	94.1885716172193	796.153227084777	5012.85677833229	9016.23047444461
hsa-mir-28	6501.20484651529	7624.46222384727	7541.65808968585	1954.25580909904	3021.94747878913	4304.0493397922	5669.20613072158	2841.56241178356	6560.08365068376	1016.51818605533	1159.86504986023	7297.69751807021	3143.59871108224
hsa-mir-148b	2806.845283367	4202.37520075701	2558.2579494718	7825.20764881213	7583.68374104141	5193.40464413186	2986.93644856983	3937.54048825512	2919.35917456227	2087.71363614269	6248.84232604126	2633.15382754565	10290.0846212426
hsa-mir-99a	6213.32327899047	8349.73770606114	3295.51445935852	553.811906813084	6406.38336909648	2195.77521309345	9809.44340901212	2824.99254885634	9588.9911375172	460.566151043521	684.734464473985	6383.4120361221	1267.36462911876
hsa-mir-363	2263.63157178122	4272.25619227823	3777.05587347373	1851.04127474225	1026.68728446041	5906.68194265266	2627.42215083604	19481.0863953872	4731.66031039929	807.38762873574	1463.38512731722	3197.08930304388	8108.07973568752
hsa-mir-30c-2	3134.14781930916	7698.20897234626	2750.04427130044	4472.78138532045	5636.36790575117	2281.8418554489	6108.36204926996	2691.08100356701	6473.27178058207	902.374408587003	2487.07168954204	5760.69690837896	3951.35279397841
hsa-mir-30c-1	3130.53121670207	7688.69326286252	2745.6163042741	4471.87200616312	5631.28289797436	2283.99352150779	6095.58933649781	2694.46260824603	6462.11025442614	897.98426329976	2475.97250246204	5750.80330354566	3947.91716697177
hsa-mir-199a-2	4629.25133708254	3846.7255588022	6616.76647705769	3092.34382449572	2467.68163111699	5881.57917196566	5616.61260754214	2043.50370753398	4420.79113746374	461.364359277566	442.259915957013	5052.72218604295	1846.07691157179
hsa-mir-199a-1	4578.6189005832	3818.17843035098	6543.42827318382	3071.42810387716	2449.03660260202	5833.88390766034	5562.51641227185	2021.86143758823	4364.57011682646	455.377797522234	437.56410603855	4989.28671975883	1831.18919454299
hsa-mir-142	5313.51255034505	3128.28949277977	10347.6054446939	1408.62831470192	2153.37972186472	4463.6312391596	5542.23033904549	1150.42191180384	4885.44133743655	400.301429373182	658.694064017056	3158.67883722047	779.887330508927
hsa-mir-451a	688.962796651737	4737.63385921743	2088.6166967399	1753.7377049081	2662.12264277305	8778.79752025604	5015.54377120561	911.004300528966	1452.65195970148	3512.91443802866	10971.973320393	1480.54886446594	2958.45658905736
hsa-mir-451b	688.962796651737	4737.63385921743	2088.6166967399	1753.7377049081	2662.12264277305	8778.79752025604	5015.54377120561	911.004300528966	1452.65195970148	3512.91443802866	10971.973320393	1480.54886446594	2958.45658905736
hsa-mir-140	4469.0358415882	2819.0289345582	6699.2373629234	2049.74062061854	3201.85989679717	2921.96250796757	3465.16184148008	2870.64421202316	3406.33242684694	812.97508637405	3190.58939368988	3641.13756703268	3665.81401609262
hsa-mir-199b	4290.37567279767	3559.47007876177	6017.05369292686	2703.1295451591	2272.02990332359	5247.55490661383	5251.08762144499	1858.86809205929	4101.65416737565	418.660218756199	381.64127882777	4657.26898108831	1631.54109182337
hsa-mir-145	3154.4007939089	7555.17596416879	3900.76220227229	404.673725011203	1173.91036676039	2153.10050292554	6527.60756261469	1475.05596099011	7589.0110063175	182.789685596129	207.896311844657	5282.6030042285	216.062765084705
hsa-mir-186	3195.26840336908	3930.2853827063	3703.44092166071	1737.36888007619	3125.82692337251	2670.21757907788	3905.8204321193	2586.92757945308	4357.5424892468	808.185836969784	2915.24417574367	4194.5974609427	3051.98199090498
hsa-mir-126	3491.10649662951	5313.63164890511	2856.31547993276	3914.87727229939	2964.0752474245	1836.80559226926	4229.6462676956	1555.87631281877	3885.4512718367	3219.97201613443	1524.857548068	3321.0503518376	1564.73723336079
